Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,2,9,-126.0,-104.0,765.1487,727.6362,1051554.0000,4766063.5000,4.7661
2,2,8,-132.0,-104.0,822.0137,642.2338,1279929.2500,5801151.5000,5.8012
3,2,7,-138.0,-104.0,1097.9800,911.1000,1205114.7500,5462062.5000,5.4621
4,2,6,-144.0,-104.0,1051.4187,1166.7338,901164.3125,4084437.2500,4.0844
5,2,5,-150.0,-104.0,1027.1450,1043.3263,984490.6875,4462105.5000,4.4621
6,2,4,-156.0,-104.0,892.6063,1035.6338,861893.8125,3906447.7500,3.9064
7,2,3,-162.0,-104.0,797.2675,583.4637,1366439.0000,6193248.5000,6.1932
8,2,2,-168.0,-104.0,540.4625,346.7625,1558595.7500,7064179.5000,7.0642
9,2,1,-174.0,-104.0,563.9012,70.7337,7972167.0000,36133052.0000,36.1331
10,3,1,-180.0,-98.0,582.2775,38.9500,14949360.0000,67756480.0000,67.7565
11,3,2,-174.0,-98.0,419.6575,167.9850,2498184.5000,11322772.0000,11.3228
12,3,3,-168.0,-98.0,633.0200,899.5975,703670.3125,3189315.5000,3.1893
13,3,4,-162.0,-98.0,123.5025,1879.2762,65718.1250,297860.8437,0.2979
14,3,5,-156.0,-98.0,744.1550,791.9037,939703.9375,4259114.0000,4.2591
15,3,6,-150.0,-98.0,951.4288,496.7300,1915384.1250,8681287.0000,8.6813
16,3,7,-144.0,-98.0,993.7675,583.2612,1703812.1250,7722358.5000,7.7224
17,3,8,-138.0,-98.0,1129.9926,621.2863,1818795.3750,8243508.5000,8.2435
18,3,9,-132.0,-98.0,1079.9187,544.9738,1981597.8750,8981394.0000,8.9814
19,3,10,-126.0,-98.0,899.5438,275.7638,3262009.0000,14784730.0000,14.7847
20,3,11,-120.0,-98.0,979.6838,254.4787,3849766.7500,17448684.0000,17.4487
21,4,13,-114.0,-92.0,856.7612,130.9225,6544034.0000,29660180.0000,29.6602
22,4,12,-120.0,-92.0,771.2662,107.1712,7196578.0000,32617772.0000,32.6178
23,4,11,-126.0,-92.0,672.4813,99.1537,6782207.5000,30739678.0000,30.7397
24,4,10,-132.0,-92.0,807.5862,139.5788,5785882.5000,26223934.0000,26.2239
25,4,9,-138.0,-92.0,1071.9237,1908.4375,561676.0625,2545740.7500,2.5457
26,4,8,-144.0,-92.0,669.2762,457.6375,1462459.3750,6628451.0000,6.6285
27,4,7,-150.0,-92.0,1022.4175,970.3387,1053670.7500,4775657.5000,4.7757
28,4,6,-156.0,-92.0,409.6388,565.1287,724859.2500,3285352.2500,3.2854
29,4,5,-162.0,-92.0,277.1575,683.4300,405539.0000,1838065.0000,1.8381
30,4,4,-168.0,-92.0,643.0500,184.7863,3479966.7500,15772602.0000,15.7726
31,4,3,-174.0,-92.0,397.3300,358.3475,1108784.1250,5025453.5000,5.0255
32,4,2,-180.0,-92.0,295.2137,179.5437,1644244.1250,7452372.5000,7.4524
33,4,1,-186.0,-92.0,1330.1300,78.4762,16949462.0000,76821744.0000,76.8217
34,5,1,-186.0,-86.0,272.3438,76.8463,3544008.5000,16062865.0000,16.0629
35,5,2,-180.0,-86.0,211.9275,88.5938,2392127.2500,10842078.0000,10.8421
36,5,3,-174.0,-86.0,537.8187,95.6813,5620941.5000,25476356.0000,25.4764
37,5,4,-168.0,-86.0,183.6800,124.7550,1472325.8750,6673170.0000,6.6732
38,5,5,-162.0,-86.0,315.9138,241.0237,1310716.3750,5940691.0000,5.9407
39,5,6,-156.0,-86.0,311.8062,184.7762,1687480.2500,7648335.5000,7.6483
40,5,7,-150.0,-86.0,654.8463,131.2075,4990921.0000,22620850.0000,22.6209
41,5,8,-144.0,-86.0,347.2762,158.5100,2190879.2500,9929941.0000,9.9299
42,5,9,-138.0,-86.0,402.8750,86.2300,4672098.0000,21175818.0000,21.1758
43,5,10,-132.0,-86.0,465.1412,76.8587,6051897.0000,27429618.0000,27.4296
44,5,11,-126.0,-86.0,518.4750,90.4662,5731143.0000,25975834.0000,25.9758
45,5,12,-120.0,-86.0,824.1500,136.9025,6019978.5000,27284952.0000,27.2850
46,5,13,-114.0,-86.0,932.1600,298.5988,3121781.2500,14149162.0000,14.1492
47,6,14,-114.0,-80.0,1017.4512,639.2475,1591639.0000,7213945.0000,7.2139
48,6,13,-120.0,-80.0,1278.9437,229.7900,5565707.0000,25226012.0000,25.2260
49,6,12,-126.0,-80.0,604.2675,112.5987,5366556.5000,24323382.0000,24.3234
50,6,11,-132.0,-80.0,529.5875,98.8887,5355387.5000,24272760.0000,24.2728
51,6,10,-138.0,-80.0,388.0400,76.5287,5070513.0000,22981594.0000,22.9816
52,6,9,-144.0,-80.0,332.1175,71.6400,4635922.5000,21011856.0000,21.0119
53,6,8,-150.0,-80.0,265.3975,66.7350,3976886.5000,18024840.0000,18.0248
54,6,7,-156.0,-80.0,323.2737,75.8063,4264473.0000,19328298.0000,19.3283
55,6,6,-162.0,-80.0,237.8325,63.7463,3730925.7500,16910048.0000,16.9100
56,6,5,-168.0,-80.0,280.1725,57.5363,4869495.0000,22070500.0000,22.0705
57,6,4,-174.0,-80.0,312.8350,90.4075,3460277.2500,15683361.0000,15.6834
58,6,3,-180.0,-80.0,412.9075,73.4000,5625443.5000,25496760.0000,25.4968
59,6,2,-186.0,-80.0,715.5087,97.4550,7341940.0000,33276610.0000,33.2766
60,7,2,-186.0,-74.0,801.7488,68.7600,11660105.0000,52848260.0000,52.8483
61,7,3,-180.0,-74.0,221.5013,60.3212,3672027.2500,16643097.0000,16.6431
62,7,4,-174.0,-74.0,677.9225,34.1475,19852774.0000,89980712.0000,89.9807
63,7,5,-168.0,-74.0,305.8700,47.9712,6376111.0000,28899086.0000,28.8991
64,7,6,-162.0,-74.0,308.5450,51.5950,5980134.0000,27104360.0000,27.1044
65,7,7,-156.0,-74.0,321.6112,52.7037,6102246.0000,27657820.0000,27.6578
66,7,8,-150.0,-74.0,333.2275,62.1100,5365119.0000,24316866.0000,24.3169
67,7,9,-144.0,-74.0,383.1775,73.5225,5211704.0000,23621528.0000,23.6215
68,7,10,-138.0,-74.0,458.2913,79.9962,5728910.5000,25965714.0000,25.9657
69,7,11,-132.0,-74.0,645.5075,94.0500,6863450.5000,31107904.0000,31.1079
70,7,12,-126.0,-74.0,1073.5699,141.8687,7567347.5000,34298248.0000,34.2982
71,7,13,-120.0,-74.0,1006.2950,259.2412,3881693.2500,17593386.0000,17.5934
72,7,14,-114.0,-74.0,957.3000,464.5700,2060615.1250,9339532.0000,9.3395
73,8,14,-114.0,-68.0,407.4312,98.7250,4126931.2500,18704904.0000,18.7049
74,8,13,-120.0,-68.0,1174.0925,101.7025,11544383.0000,52323764.0000,52.3238
75,8,12,-126.0,-68.0,959.7700,159.9575,6000157.0000,27195112.0000,27.1951
76,8,11,-132.0,-68.0,807.7375,115.3550,7002189.0000,31736722.0000,31.7367
77,8,10,-138.0,-68.0,632.3787,86.3812,7320787.5000,33180738.0000,33.1807
78,8,9,-144.0,-68.0,758.8113,100.5700,7545106.0000,34197440.0000,34.1974
79,8,8,-150.0,-68.0,244.1062,81.7962,2984321.0000,13526137.0000,13.5261
80,8,7,-156.0,-68.0,286.2775,71.1350,4024425.5000,18240306.0000,18.2403
