Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
141,13,4,-162.0,-38.0,330.7375,33.5712,9851808.0000,44652336.0000,44.6523
142,13,5,-156.0,-38.0,317.2500,27.2600,11637931.0000,52747760.0000,52.7478
143,13,6,-150.0,-38.0,314.0413,36.2863,8654554.0000,39225900.0000,39.2259
144,13,7,-144.0,-38.0,244.4850,40.3837,6054043.5000,27439348.0000,27.4393
145,13,8,-138.0,-38.0,425.8125,60.2737,7064643.0000,32019788.0000,32.0198
146,13,9,-132.0,-38.0,811.3675,82.3313,9854915.0000,44666420.0000,44.6664
147,13,10,-126.0,-38.0,947.8100,80.3538,11795468.0000,53461780.0000,53.4618
148,13,11,-120.0,-38.0,301.4537,31.7700,9488628.0000,43006260.0000,43.0063
149,14,9,-126.0,-32.0,296.2613,30.3612,9757875.0000,44226592.0000,44.2266
150,14,8,-132.0,-32.0,311.7450,56.7050,5497663.5000,24917610.0000,24.9176
151,14,7,-138.0,-32.0,520.2250,100.3200,5185656.0000,23503468.0000,23.5035
152,14,6,-144.0,-32.0,334.1963,53.8550,6205483.0000,28125732.0000,28.1257
153,14,5,-150.0,-32.0,303.1550,33.5175,9044678.0000,40994100.0000,40.9941
154,14,4,-156.0,-32.0,316.1487,57.0488,5541729.5000,25117336.0000,25.1173
155,14,3,-162.0,-32.0,311.1762,43.6300,7132162.5000,32325814.0000,32.3258
156,14,2,-168.0,-32.0,310.9513,29.2175,10642639.0000,48236700.0000,48.2367
157,14,1,-174.0,-32.0,550.2737,16.1038,34170536.0000,154874544.0000,154.8745
