Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,2,9,-126.0,-104.0,827.8912,660.4288,1253566.3750,5681664.5000,5.6817
2,2,8,-132.0,-104.0,571.7012,2047.9375,279159.5625,1265262.8750,1.2653
3,2,7,-138.0,-104.0,268.0512,2047.9375,130888.3906,593238.5625,0.5932
4,2,6,-144.0,-104.0,175.3188,2047.9375,85607.4843,388007.3750,0.3880
5,2,5,-150.0,-104.0,974.3688,1155.8475,842990.7500,3820771.5000,3.8208
6,2,4,-156.0,-104.0,279.8763,2047.9375,136662.5000,619409.1250,0.6194
7,2,3,-162.0,-104.0,529.4450,593.7438,891706.2500,4041569.5000,4.0416
8,2,2,-168.0,-104.0,579.7000,242.4388,2391119.7500,10837511.0000,10.8375
9,2,1,-174.0,-104.0,298.5950,-109.4450,2728265.5000,12365591.0000,12.3656
10,3,1,-180.0,-98.0,351.3325,-105.0362,3344869.5000,15160287.0000,15.1603
11,3,2,-174.0,-98.0,441.7100,48.5037,9106719.0000,41275296.0000,41.2753
12,3,3,-168.0,-98.0,493.1437,190.5025,2588647.2500,11732785.0000,11.7328
13,3,4,-162.0,-98.0,484.1638,1464.3550,330632.7812,1498560.0000,1.4986
14,3,5,-156.0,-98.0,648.3312,1915.3137,338498.7500,1534211.7500,1.5342
15,3,6,-150.0,-98.0,464.2825,416.1162,1115751.8750,5057034.0000,5.0570
16,3,7,-144.0,-98.0,679.2188,603.4275,1125601.3750,5101676.0000,5.1017
17,3,8,-138.0,-98.0,659.8013,349.4600,1888059.5000,8557441.0000,8.5574
18,3,9,-132.0,-98.0,314.2888,856.4600,366962.5625,1663221.1250,1.6632
19,3,10,-126.0,-98.0,430.7300,551.0350,781674.5625,3542862.0000,3.5429
20,3,11,-120.0,-98.0,598.8337,70.9713,8437694.0000,38243004.0000,38.2430
21,4,13,-114.0,-92.0,472.7875,-12.8825,36699984.0000,166339008.0000,166.3390
22,4,12,-120.0,-92.0,381.2888,-40.5725,9397715.0000,42594204.0000,42.5942
23,4,11,-126.0,-92.0,297.6412,-60.4087,4927121.5000,22331686.0000,22.3317
24,4,10,-132.0,-92.0,665.0162,-7.6675,86731824.0000,393103328.0000,393.1033
25,4,9,-138.0,-92.0,702.1912,81.2588,8641423.0000,39166388.0000,39.1664
26,4,8,-144.0,-92.0,489.6988,276.9925,1767913.6250,8012892.0000,8.0129
27,4,7,-150.0,-92.0,339.9675,75.2600,4517240.5000,20473942.0000,20.4739
28,4,6,-156.0,-92.0,456.2500,140.3112,3251699.2500,14738002.0000,14.7380
29,4,5,-162.0,-92.0,250.0388,48.6225,5142450.0000,23307642.0000,23.3076
30,4,4,-168.0,-92.0,445.3025,383.1812,1162119.8750,5267192.5000,5.2672
31,4,3,-174.0,-92.0,338.3412,38.5588,8774694.0000,39770424.0000,39.7704
32,4,2,-180.0,-92.0,420.6750,6.4875,64843928.0000,293898624.0000,293.8986
33,4,1,-186.0,-92.0,293.7313,-42.1987,6960663.0000,31548510.0000,31.5485
34,5,1,-186.0,-86.0,356.1963,-58.6362,6074677.0000,27532866.0000,27.5329
35,5,2,-180.0,-86.0,215.8963,3.1375,68811560.0000,311881536.0000,311.8815
