Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A3_mV,R_Ohms,Rs_Ohm_sq
77,8,7,-132.7,-23.8,0.0603,0.0000,0.0006,0.0027
78,8,8,-123.8,-23.8,0.0564,0.0000,0.0006,0.0026
79,8,9,-114.9,-23.8,0.0553,0.0000,0.0006,0.0025
80,8,10,-106.0,-23.8,0.0653,0.0000,0.0007,0.0030
81,9,1,-186.0,-14.9,0.0541,0.0000,0.0005,0.0025
82,9,2,-177.1,-14.9,0.0545,0.0000,0.0005,0.0025
83,9,3,-168.2,-14.9,0.0539,0.0000,0.0005,0.0024
84,9,4,-159.3,-14.9,0.0528,0.0000,0.0005,0.0024
85,9,5,-150.4,-14.9,0.0578,0.0000,0.0006,0.0026
86,9,6,-141.6,-14.9,0.0531,0.0000,0.0005,0.0024
87,9,7,-132.7,-14.9,0.0597,0.0000,0.0006,0.0027
88,9,8,-123.8,-14.9,0.0562,0.0000,0.0006,0.0025
89,9,9,-114.9,-14.9,0.0562,0.0000,0.0006,0.0025
90,9,10,-106.0,-14.9,0.0583,0.0000,0.0006,0.0026
91,10,1,-186.0,-6.0,0.0584,0.0000,0.0006,0.0026
92,10,2,-177.1,-6.0,0.0538,0.0000,0.0005,0.0024
93,10,3,-168.2,-6.0,0.0555,0.0000,0.0006,0.0025
94,10,4,-159.3,-6.0,0.0555,0.0000,0.0006,0.0025
95,10,5,-150.4,-6.0,0.0547,0.0000,0.0005,0.0025
96,10,6,-141.6,-6.0,0.0548,0.0000,0.0005,0.0025
97,10,7,-132.7,-6.0,0.0542,0.0000,0.0005,0.0025
98,10,8,-123.8,-6.0,0.0545,0.0000,0.0005,0.0025
99,10,9,-114.9,-6.0,0.0527,0.0000,0.0005,0.0024
100,10,10,-106.0,-6.0,0.0578,0.0000,0.0006,0.0026
