Point,X (mm),Y (mm),Z (mm),Thickness (nm),Ge (Weight %),Te (Weight %),Sb (Weight %),Ge (Stoichiometry),Te (Stoichiometry),Sb (Stoichiometry)
153,129.75,48.13,120.50,44.31,16.4,32.7,50.9,1.00,1.14,1.85
154,117.85,47.95,120.50,115.74,20.5,13.8,65.8,2.61,1.00,5.01
155,111.86,47.86,120.50,118.32,16.2,15.2,68.6,1.87,1.00,4.73
156,105.88,47.77,120.50,120.51,13.2,16.6,70.2,1.39,1.00,4.44
157,99.90,47.69,120.50,122.68,10.4,18.4,71.2,1.00,1.01,4.08
158,93.92,47.60,120.50,121.63,8.4,20.6,71.0,1.00,1.39,5.02
159,87.94,47.51,120.50,122.08,6.7,22.1,71.2,1.00,1.86,6.30
160,81.95,47.42,120.50,120.21,5.5,24.0,70.6,1.00,2.50,7.72
161,75.97,47.33,120.50,118.76,4.7,25.9,69.4,1.00,3.17,8.88
162,69.99,47.24,120.50,113.89,4.0,28.8,67.2,1.00,4.08,9.99
163,123.86,42.12,120.50,31.97,16.7,46.8,36.6,1.00,1.60,1.31
164,117.81,42.03,120.50,124.95,15.9,11.5,72.6,2.44,1.00,6.62
165,111.95,41.94,120.50,136.48,13.6,11.0,75.4,2.16,1.00,7.16
166,99.99,41.76,120.50,140.21,8.8,14.2,77.0,1.09,1.00,5.69
167,105.97,41.79,120.50,138.78,11.1,12.6,76.3,1.55,1.00,6.33
168,94.01,41.68,120.50,139.07,7.2,14.9,77.9,1.00,1.18,6.46
169,88.09,41.59,120.50,140.90,5.7,16.3,78.1,1.00,1.63,8.20
170,82.04,41.44,120.50,136.95,4.7,18.3,77.0,1.00,2.22,9.80
171,76.06,41.35,120.50,133.86,3.9,19.9,76.1,1.00,2.88,11.52
172,112.04,35.96,120.50,159.13,9.8,9.5,80.7,1.82,1.00,8.92
173,106.06,35.87,120.50,162.39,9.4,9.6,81.0,1.71,1.00,8.84
174,100.08,35.78,120.50,161.54,7.5,10.4,82.1,1.27,1.00,8.26
175,94.09,35.69,120.50,162.83,6.1,11.6,82.3,1.00,1.09,8.09
176,88.17,35.61,120.50,161.88,4.6,11.9,83.5,1.00,1.49,10.95
Mean,99.45,77.54,120.50,89.77,14.2,50.9,34.9,1.42,4.15,2.58
