Node_ID,Row,Col,X_mm,Y_mm,FZ_450nm,FY_555nm,FXL_600nm,NIR_855nm,VIS_1,FD_1,F2_425nm,F3_475nm,F4_515nm,F6_640nm,VIS_2,FD_2,F1_405nm,F7_690nm,F8_745nm,F5_550nm,VIS_3,FD_3
1,1,1,-196.00,-122.00,84.0,333.0,384.0,79.0,371.0,999.0,79.0,93.0,151.0,358.0,371.0,999.0,66.0,175.0,64.0,114.0,371.0,999.0
2,1,2,-188.86,-122.00,83.0,332.0,381.0,79.0,368.0,999.0,79.0,92.0,149.0,355.0,368.0,999.0,66.0,173.0,63.0,113.0,366.0,999.0
3,1,3,-181.71,-122.00,81.0,325.0,375.0,76.0,362.0,999.0,76.0,90.0,146.0,346.0,362.0,999.0,64.0,167.0,61.0,111.0,362.0,999.0
4,1,4,-174.57,-122.00,80.0,323.0,372.0,75.0,358.0,999.0,75.0,88.0,144.0,343.0,358.0,999.0,63.0,166.0,61.0,109.0,358.0,999.0
5,1,5,-167.43,-122.00,68.0,283.0,325.0,62.0,312.0,999.0,62.0,74.0,124.0,295.0,312.0,999.0,51.0,138.0,49.0,93.0,312.0,999.0
6,1,6,-160.29,-122.00,45.0,202.0,239.0,34.0,228.0,999.0,35.0,48.0,84.0,217.0,228.0,999.0,27.0,96.0,28.0,59.0,228.0,999.0
7,1,7,-153.14,-122.00,47.0,213.0,251.0,40.0,241.0,999.0,40.0,51.0,89.0,225.0,241.0,999.0,32.0,100.0,32.0,65.0,241.0,999.0
8,1,8,-146.00,-122.00,65.0,276.0,317.0,63.0,305.0,999.0,62.0,71.0,119.0,278.0,305.0,999.0,51.0,128.0,49.0,91.0,304.0,999.0
9,1,9,-138.86,-122.00,47.0,208.0,245.0,38.0,236.0,999.0,39.0,50.0,87.0,220.0,236.0,999.0,31.0,97.0,31.0,63.0,236.0,999.0
10,1,10,-131.71,-122.00,54.0,231.0,268.0,45.0,260.0,999.0,46.0,58.0,99.0,242.0,260.0,999.0,36.0,109.0,36.0,72.0,260.0,999.0
11,1,11,-124.57,-122.00,72.0,294.0,339.0,66.0,325.0,999.0,66.0,79.0,132.0,308.0,325.0,999.0,55.0,146.0,53.0,98.0,325.0,999.0
12,1,12,-117.43,-122.00,78.0,312.0,361.0,71.0,338.0,999.0,72.0,84.0,139.0,334.0,338.0,999.0,59.0,161.0,57.0,105.0,338.0,999.0
13,1,13,-110.29,-122.00,79.0,313.0,359.0,72.0,345.0,999.0,72.0,86.0,140.0,335.0,344.0,999.0,60.0,163.0,58.0,105.0,344.0,999.0
14,1,14,-103.14,-122.00,78.0,312.0,360.0,72.0,348.0,999.0,72.0,86.0,141.0,335.0,348.0,999.0,60.0,162.0,58.0,105.0,348.0,999.0
15,1,15,-96.00,-122.00,72.0,289.0,336.0,64.0,325.0,999.0,65.0,79.0,129.0,314.0,325.0,999.0,53.0,152.0,52.0,96.0,325.0,999.0
16,2,1,-196.00,-114.86,84.0,334.0,384.0,80.0,370.0,999.0,80.0,93.0,150.0,357.0,370.0,999.0,67.0,174.0,64.0,115.0,370.0,999.0
17,2,2,-188.86,-114.86,87.0,344.0,395.0,82.0,378.0,999.0,82.0,95.0,154.0,364.0,378.0,999.0,69.0,178.0,66.0,118.0,378.0,999.0
18,2,3,-181.71,-114.86,85.0,338.0,387.0,80.0,370.0,999.0,80.0,93.0,151.0,353.0,370.0,999.0,67.0,170.0,64.0,116.0,370.0,999.0
19,2,4,-174.57,-114.86,33.0,160.0,195.0,21.0,183.0,999.0,22.0,35.0,63.0,179.0,183.0,999.0,16.0,77.0,18.0,42.0,183.0,999.0
20,2,5,-167.43,-114.86,113.0,427.0,471.0,122.0,463.0,999.0,119.0,124.0,196.0,401.0,463.0,999.0,101.0,191.0,93.0,161.0,463.0,999.0
