Node_ID,Row,Col,X_mm,Y_mm,FZ_450nm,FY_555nm,FXL_600nm,NIR_855nm,VIS_1,FD_1,F2_425nm,F3_475nm,F4_515nm,F6_640nm,VIS_2,FD_2,F1_405nm,F7_690nm,F8_745nm,F5_550nm,VIS_3,FD_3
1,1,1,-196.00,-122.00,80.0,319.0,367.0,73.0,355.0,999.0,73.0,87.0,143.0,342.0,355.0,999.0,61.0,166.0,59.0,107.0,355.0,999.0
2,1,2,-188.86,-122.00,79.0,319.0,369.0,73.0,354.0,999.0,74.0,87.0,143.0,343.0,354.0,999.0,61.0,166.0,59.0,107.0,354.0,999.0
3,1,3,-181.71,-122.00,78.0,315.0,363.0,72.0,352.0,999.0,73.0,86.0,141.0,336.0,352.0,999.0,60.0,161.0,58.0,106.0,352.0,999.0
4,1,4,-174.57,-122.00,76.0,311.0,359.0,70.0,346.0,999.0,70.0,83.0,138.0,331.0,346.0,999.0,58.0,158.0,57.0,104.0,346.0,999.0
5,1,5,-167.43,-122.00,62.0,264.0,306.0,55.0,293.0,999.0,55.0,67.0,115.0,278.0,294.0,999.0,45.0,129.0,44.0,84.0,293.0,999.0
6,1,6,-160.29,-122.00,41.0,190.0,226.0,30.0,216.0,999.0,31.0,43.0,79.0,205.0,216.0,999.0,23.0,89.0,25.0,54.0,216.0,999.0
7,1,7,-153.14,-122.00,57.0,248.0,289.0,53.0,277.0,999.0,52.0,62.0,106.0,255.0,277.0,999.0,43.0,115.0,41.0,80.0,277.0,999.0
8,1,8,-146.00,-122.00,82.0,321.0,359.0,80.0,351.0,999.0,79.0,88.0,144.0,313.0,351.0,999.0,66.0,145.0,61.0,112.0,351.0,999.0
9,1,9,-138.86,-122.00,53.0,236.0,275.0,48.0,264.0,999.0,48.0,57.0,99.0,244.0,265.0,999.0,39.0,109.0,38.0,74.0,264.0,999.0
10,1,10,-131.71,-122.00,46.0,206.0,242.0,36.0,233.0,999.0,37.0,49.0,87.0,218.0,233.0,999.0,29.0,96.0,29.0,61.0,233.0,999.0
11,1,11,-124.57,-122.00,63.0,265.0,306.0,55.0,297.0,999.0,56.0,68.0,117.0,276.0,297.0,999.0,46.0,128.0,44.0,86.0,297.0,999.0
12,1,12,-117.43,-122.00,72.0,294.0,341.0,64.0,320.0,999.0,65.0,77.0,130.0,315.0,321.0,999.0,53.0,150.0,52.0,97.0,320.0,999.0
13,1,13,-110.29,-122.00,75.0,300.0,346.0,66.0,332.0,999.0,67.0,80.0,134.0,322.0,331.0,999.0,55.0,155.0,54.0,99.0,331.0,999.0
14,1,14,-103.14,-122.00,75.0,303.0,349.0,68.0,337.0,999.0,68.0,82.0,136.0,324.0,337.0,999.0,56.0,156.0,55.0,101.0,337.0,999.0
15,1,15,-96.00,-122.00,67.0,277.0,322.0,59.0,311.0,999.0,60.0,74.0,123.0,301.0,311.0,999.0,49.0,144.0,48.0,90.0,311.0,999.0
16,2,1,-196.00,-114.86,79.0,318.0,366.0,73.0,353.0,999.0,74.0,87.0,142.0,339.0,353.0,999.0,60.0,164.0,59.0,107.0,353.0,999.0
