Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,1,1,-162.0,-110.0,440.5625,1.3875,317522368.0000,1439138432.0000,1439.1384
2,1,2,-156.0,-110.0,989.5075,86.0838,11494708.0000,52098616.0000,52.0986
3,1,3,-150.0,-110.0,1294.6500,21.7962,59397840.0000,269214784.0000,269.2148
4,1,4,-144.0,-110.0,1007.6975,515.3287,1955446.1250,8862864.0000,8.8629
5,1,5,-138.0,-110.0,169.9125,767.6588,221338.5937,1003195.0625,1.0032
6,2,9,-126.0,-104.0,61.7250,718.5762,85899.0312,389328.7812,0.3893
7,2,8,-132.0,-104.0,114.3825,726.1625,157516.4062,713927.3750,0.7139
8,2,7,-138.0,-104.0,404.2500,696.2737,580590.6875,2631469.2500,2.6315
9,2,6,-144.0,-104.0,881.7375,255.6537,3448952.2500,15632032.0000,15.6320
10,2,5,-150.0,-104.0,1410.1075,4.4413,317502432.0000,1439048064.0000,1439.0481
11,2,4,-156.0,-104.0,1269.2125,2.0775,610932800.0000,2768992000.0000,2768.9920
12,2,3,-162.0,-104.0,999.6075,2.8300,353217984.0000,1600925184.0000,1600.9252
13,2,2,-168.0,-104.0,252.8250,1.5563,162457680.0000,736323200.0000,736.3232
14,2,1,-174.0,-104.0,58.3650,0.6475,90139128.0000,408546592.0000,408.5466
15,3,1,-180.0,-98.0,279.5050,0.3987,700952448.0000,3176996864.0000,3176.9969
16,3,2,-174.0,-98.0,147.8475,0.5400,273791200.0000,1240931328.0000,1240.9313
17,3,3,-168.0,-98.0,222.3675,0.5587,397973056.0000,1803773184.0000,1803.7732
18,3,4,-162.0,-98.0,1615.5400,1.9300,837067392.0000,3793924352.0000,3793.9244
19,3,5,-156.0,-98.0,1489.9575,1.7537,849583872.0000,3850653952.0000,3850.6540
20,3,6,-150.0,-98.0,1250.9475,5.0350,248450368.0000,1126076544.0000,1126.0765
21,3,7,-144.0,-98.0,957.4675,279.0137,3431614.5000,15553450.0000,15.5534
22,3,8,-138.0,-98.0,579.2075,623.0150,929684.7500,4213703.5000,4.2137
23,3,9,-132.0,-98.0,808.9475,685.2488,1180516.6250,5350573.5000,5.3506
24,3,10,-126.0,-98.0,106.1700,735.7275,144306.1562,654053.2500,0.6541
25,3,11,-120.0,-98.0,246.3550,686.8500,358673.6875,1625652.6250,1.6257
26,4,13,-114.0,-92.0,141.8225,149.4088,949224.8125,4302266.5000,4.3023
27,4,12,-120.0,-92.0,562.1700,152.9625,3675215.0000,16657545.0000,16.6575
