Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,1,1,-162.0,-110.0,67.6425,707.0837,95664.0625,433587.8125,0.4336
2,1,2,-156.0,-110.0,48.7825,726.6013,67137.9375,304296.0000,0.3043
3,1,3,-150.0,-110.0,21.6150,757.8300,28522.2265,129274.1406,0.1293
4,1,4,-144.0,-110.0,7.8700,733.2562,10732.9462,48646.0078,0.0486
5,1,5,-138.0,-110.0,4.8125,721.5075,6670.0629,30231.3945,0.0302
6,2,9,-126.0,-104.0,44.1600,721.3875,61215.3671,277452.5312,0.2775
7,2,8,-132.0,-104.0,31.2350,690.1487,45258.3593,205129.0000,0.2051
8,2,7,-138.0,-104.0,33.8900,610.1562,55543.1523,251743.7968,0.2517
9,2,6,-144.0,-104.0,14.8225,614.8463,24107.6562,109265.5468,0.1093
10,2,5,-150.0,-104.0,43.4150,665.1275,65273.2031,295844.2812,0.2958
11,2,4,-156.0,-104.0,91.6225,679.2537,134887.0156,611361.9375,0.6114
12,2,3,-162.0,-104.0,303.7175,613.8838,494747.5937,2242394.0000,2.2424
13,2,2,-168.0,-104.0,235.3700,584.4562,402716.2187,1825271.0000,1.8253
14,2,1,-174.0,-104.0,940.9375,-1.8637,504863424.0000,2288242944.0000,2288.2429
15,3,1,-180.0,-98.0,27.6150,-8.0875,3414527.7500,15476006.0000,15.4760
16,3,2,-174.0,-98.0,619.6750,-4.8788,127015024.0000,575682880.0000,575.6829
17,3,3,-168.0,-98.0,549.6750,11.5863,47442004.0000,215026144.0000,215.0261
18,3,4,-162.0,-98.0,658.8350,663.7400,992610.1875,4498906.5000,4.4989
19,3,5,-156.0,-98.0,147.7850,713.2850,207189.2968,939064.8125,0.9391
20,3,6,-150.0,-98.0,67.0625,732.7612,91520.2734,414806.5000,0.4148
21,3,7,-144.0,-98.0,45.5900,706.5037,64529.0312,292471.3750,0.2925
22,3,8,-138.0,-98.0,55.0925,748.2988,73623.6718,333691.9375,0.3337
23,3,9,-132.0,-98.0,456.1550,727.2150,627262.9375,2843006.5000,2.8430
24,3,10,-126.0,-98.0,84.0425,726.9913,115603.1796,523959.8750,0.5240
25,3,11,-120.0,-98.0,285.0650,694.4525,410488.8750,1860499.8750,1.8605
26,4,13,-114.0,-92.0,74.6900,189.9025,393307.1250,1782625.2500,1.7826
27,4,12,-120.0,-92.0,253.8975,89.9863,2821514.5000,12788233.0000,12.7882
28,4,11,-126.0,-92.0,218.8750,632.1475,346240.3750,1569299.8750,1.5693
29,4,10,-132.0,-92.0,162.6350,683.0650,238095.9375,1079146.0000,1.0791
30,4,9,-138.0,-92.0,139.9550,634.1337,220702.6718,1000312.8125,1.0003
31,4,8,-144.0,-92.0,47.3350,494.1212,95796.3281,434187.2812,0.4342
32,4,7,-150.0,-92.0,90.7175,680.8438,133242.7656,603909.5000,0.6039
33,4,6,-156.0,-92.0,174.8450,726.0400,240820.0781,1091493.0000,1.0915
34,4,5,-162.0,-92.0,603.9975,635.2562,950793.5625,4309377.0000,4.3094
