Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,2,9,-126.0,-104.0,824.4975,586.1700,1406584.3750,6375203.0000,6.3752
2,2,8,-132.0,-104.0,760.2825,655.9163,1159115.2500,5253574.0000,5.2536
3,2,7,-138.0,-104.0,628.5100,1111.4575,565482.8125,2562994.2500,2.5630
4,2,6,-144.0,-104.0,924.2963,1130.2625,817771.3750,3706467.0000,3.7065
5,2,5,-150.0,-104.0,887.1013,1059.0413,837645.6875,3796545.5000,3.7965
6,2,4,-156.0,-104.0,1023.3650,1243.1875,823178.3125,3730973.5000,3.7310
7,2,3,-162.0,-104.0,691.6250,940.1200,735677.4375,3334384.5000,3.3344
8,2,2,-168.0,-104.0,611.0725,302.1800,2022213.8750,9165482.0000,9.1655
9,2,1,-174.0,-104.0,270.9475,32.2313,8406361.0000,38100992.0000,38.1010
10,3,1,-180.0,-98.0,329.0963,34.6087,9509049.0000,43098816.0000,43.0988
11,3,2,-174.0,-98.0,512.5175,191.6463,2674289.2500,12120949.0000,12.1209
12,3,3,-168.0,-98.0,310.5887,264.6350,1173649.6250,5319449.5000,5.3194
13,3,4,-162.0,-98.0,661.2125,535.0675,1235755.3750,5600938.0000,5.6009
14,3,5,-156.0,-98.0,570.1788,593.3075,961017.3750,4355715.5000,4.3557
15,3,6,-150.0,-98.0,364.1638,477.4788,762680.6250,3456773.7500,3.4568
16,3,7,-144.0,-98.0,780.6013,446.8925,1746731.7500,7916887.0000,7.9169
17,3,8,-138.0,-98.0,837.9850,415.9500,2014629.2500,9131106.0000,9.1311
18,3,9,-132.0,-98.0,415.3163,330.2563,1257557.6250,5699754.5000,5.6998
19,3,10,-126.0,-98.0,496.0512,334.8300,1481501.8750,6714759.5000,6.7148
20,3,11,-120.0,-98.0,493.0013,222.9175,2211586.2500,10023794.0000,10.0238
21,4,13,-114.0,-92.0,631.7650,138.2525,4569646.5000,20711466.0000,20.7115
22,4,12,-120.0,-92.0,486.2975,103.8412,4683086.5000,21225622.0000,21.2256
23,4,11,-126.0,-92.0,474.0975,110.4525,4292320.5000,19454514.0000,19.4545
24,4,10,-132.0,-92.0,640.4125,125.4662,5104261.5000,23134556.0000,23.1346
25,4,9,-138.0,-92.0,429.8525,112.6450,3815993.0000,17295608.0000,17.2956
26,4,8,-144.0,-92.0,278.2125,286.0350,972652.0000,4408448.0000,4.4084
27,4,7,-150.0,-92.0,270.9000,76.2800,3551390.0000,16096321.0000,16.0963
28,4,6,-156.0,-92.0,470.6588,168.9812,2785272.0000,12623967.0000,12.6240
29,4,5,-162.0,-92.0,415.2675,197.7388,2100081.5000,9518410.0000,9.5184
30,4,4,-168.0,-92.0,545.7950,166.8350,3271465.7500,14827592.0000,14.8276
31,4,3,-174.0,-92.0,444.9775,149.3550,2979328.2500,13503508.0000,13.5035
32,4,2,-180.0,-92.0,568.5588,135.2150,4204850.0000,19058062.0000,19.0581
33,4,1,-186.0,-92.0,1341.0238,107.8100,12438772.0000,56377492.0000,56.3775
34,5,1,-186.0,-86.0,458.0325,62.4688,7332186.5000,33232404.0000,33.2324
35,5,2,-180.0,-86.0,366.3575,137.9025,2656641.7500,12040963.0000,12.0410
36,5,3,-174.0,-86.0,277.0363,94.2800,2938441.7500,13318194.0000,13.3182
37,5,4,-168.0,-86.0,275.4838,79.0400,3485371.7500,15797099.0000,15.7971
38,5,5,-162.0,-86.0,289.3100,90.0987,3211032.7500,14553685.0000,14.5537
39,5,6,-156.0,-86.0,270.8425,81.2138,3334934.5000,15115258.0000,15.1153
40,5,7,-150.0,-86.0,332.4537,78.0650,4258679.0000,19302038.0000,19.3020
41,5,8,-144.0,-86.0,285.3037,84.6813,3369149.0000,15270331.0000,15.2703
42,5,9,-138.0,-86.0,271.0575,55.6200,4873382.0000,22088118.0000,22.0881
43,5,10,-132.0,-86.0,286.4100,71.3975,4011485.0000,18181656.0000,18.1817
44,5,11,-126.0,-86.0,272.3387,93.4013,2915793.2500,13215542.0000,13.2155
45,5,12,-120.0,-86.0,504.9050,117.7812,4286803.5000,19429508.0000,19.4295
