Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,1,1,-162,-110,1031.74,11.3213,,,
2,1,2,-156,-110,1140.895,2.5625,,,
3,1,3,-150,-110,1167.9025,2.1613,,,
4,1,4,-144,-110,913.35,428.5013,,,
5,1,5,-138,-110,130.15,759.3013,,,
6,2,9,-126,-104,81.8825,799.4225,,,
7,2,8,-132,-104,115.0225,769.0687,,,
8,2,7,-138,-104,386.855,695.0862,,,
9,2,6,-144,-104,865.4725,243.3275,,,
10,2,5,-150,-104,1250.04,4.1725,,,
11,2,4,-156,-104,1372.1775,1.8,,,
12,2,3,-162,-104,957.4375,1.1775,,,
13,2,2,-168,-104,763.0225,0.5288,,,
14,2,1,-174,-104,107.63,0.8325,,,
15,3,1,-180,-98,0.1975,0.3088,,,
16,3,2,-174,-98,580.6775,0.3025,,,
17,3,3,-168,-98,458.2625,0.3975,,,
18,3,4,-162,-98,369.7525,0.5025,,,
19,3,5,-156,-98,1207.1176,1.4212,,,
20,3,6,-150,-98,1095.6625,4.8187,,,
21,3,7,-144,-98,884.4075,270.6325,,,
22,3,8,-138,-98,598.7375,652.9412,,,
23,3,9,-132,-98,392.185,723.6487,,,
24,3,10,-126,-98,120.305,745.0025,,,
25,3,11,-120,-98,242.2625,731.4963,,,
26,4,13,-114,-92,172.5125,177.1725,,,
27,4,12,-120,-92,1247.575,301.1375,,,
28,4,11,-126,-92,323.0025,625.2612,,,
29,4,10,-132,-92,299.82,710.4338,,,
30,4,9,-138,-92,447.7425,535.7,,,
31,4,8,-144,-92,809.39,293.04,,,
32,4,7,-150,-92,1082.955,19.9,,,
33,4,6,-156,-92,907.16,12.9313,,,
34,4,5,-162,-92,245.3475,0.4487,,,
35,4,4,-168,-92,1158.2625,0.9287,,,
36,4,3,-174,-92,904.25,0.4525,,,
37,4,2,-180,-92,861.9325,0.6037,,,
38,4,1,-186,-92,110.245,1.1338,,,
39,5,1,-186,-86,533.515,0.3475,,,
40,5,2,-180,-86,471.935,0.3662,,,
41,5,3,-174,-86,3.42,0.5075,,,
42,5,4,-168,-86,511.815,0.3613,,,
43,5,5,-162,-86,341.305,0.4125,,,
44,5,6,-156,-86,726.81,2.3063,,,
45,5,7,-150,-86,935.4775,45.9038,,,
46,5,8,-144,-86,793.6825,269.04,,,
47,5,9,-138,-86,178.6675,240.4713,,,
48,5,10,-132,-86,754.9625,249.9062,,,
49,5,11,-126,-86,493.0725,120.2962,,,
