Point,X (mm),Y (mm),Z (mm),Thickness (nm),Ge (Weight %),Te (Weight %),Sb (Weight %),Ge (Stoichiometry),Te (Stoichiometry),Sb (Stoichiometry)
130,111.69,59.83,120.5,28.04980498,20.2,24.7,55.1,1.44,1,2.34
131,105.7,59.74,120.5,28.52385239,16.2,27.3,56.5,1.04,1,2.17
132,99.72,59.65,120.5,29.04890489,13.1,30.9,56,1,1.34,2.54
133,93.74,59.56,120.5,29.6549655,10.4,34,55.6,1,1.86,3.18
134,87.82,59.47,120.5,30.4980498,8,37.8,54.2,1,2.69,4.04
135,81.84,59.38,120.5,30.51905191,6.5,41.4,52.1,1,3.63,4.79
136,75.79,59.3,120.5,30.70207021,5.6,44.2,50.2,1,4.5,5.35
137,69.87,59.21,120.5,30.80408041,4.6,47.7,47.7,1,5.92,6.2
138,63.77,59.12,120.5,0.1,0,51.5,48.5,0,1.01,1
139,135.7,54.2,120.5,0.1,0,41.9,58.1,0,1,1.45
140,129.6,54.11,120.5,27.43474347,32.6,14.9,52.5,3.84,1,3.69
141,123.68,54.02,120.5,30.360036,28.2,15.8,56,3.14,1,3.72
142,117.7,53.93,120.5,30.55205521,23.3,17,59.6,2.41,1,3.67
143,111.78,53.84,120.5,31.14311431,18.3,19.3,62.4,1.66,1,3.38
144,105.79,53.76,120.5,31.52415242,14.9,21.7,63.5,1.21,1,3.07
145,99.81,53.67,120.5,31.92319232,11.8,24.1,64.1,1,1.16,3.23
146,93.83,53.58,120.5,32.01620162,9.7,26.6,63.7,1,1.56,3.91
147,87.91,53.49,120.5,32.19921992,7.9,29.1,63,1,2.09,4.76
148,81.93,53.4,120.5,32.62826283,6.3,32.1,61.6,1,2.88,5.79
149,75.88,53.31,120.5,32.52625263,5.1,35.6,59.3,1,3.94,6.88
150,69.96,53.22,120.5,31.86918692,4.3,38.4,57.3,1,5.03,7.86
151,63.86,53.14,120.5,0.1,0,41.5,58.5,0,1,1.48
152,123.77,48.1,120.5,30.59105911,26.2,13.8,60,3.35,1,4.57
153,129.75,48.13,120.5,13.29432943,16.4,32.7,50.9,1,1.14,1.85
154,117.85,47.95,120.5,34.72547255,20.5,13.8,65.8,2.61,1,5.01
155,111.86,47.86,120.5,35.49954995,16.2,15.2,68.6,1.87,1,4.73
156,105.88,47.77,120.5,36.15661566,13.2,16.6,70.2,1.39,1,4.44
157,99.9,47.69,120.5,36.80768077,10.4,18.4,71.2,1,1.01,4.08
158,93.92,47.6,120.5,36.49264926,8.4,20.6,71,1,1.39,5.02
159,87.94,47.51,120.5,36.62766277,6.7,22.1,71.2,1,1.86,6.3
160,81.95,47.42,120.5,36.06660666,5.5,24,70.6,1,2.5,7.72
161,75.97,47.33,120.5,35.63156316,4.7,25.9,69.4,1,3.17,8.88
162,69.99,47.24,120.5,34.17041704,4,28.8,67.2,1,4.08,9.99
163,123.86,42.12,120.5,9.591959196,16.7,46.8,36.6,1,1.6,1.31
164,117.81,42.03,120.5,37.48874887,15.9,11.5,72.6,2.44,1,6.62
165,111.95,41.94,120.5,40.94809481,13.6,11,75.4,2.16,1,7.16
166,99.99,41.76,120.5,42.06720672,8.8,14.2,77,1.09,1,5.69
167,105.97,41.79,120.5,41.63816382,11.1,12.6,76.3,1.55,1,6.33
168,94.01,41.68,120.5,41.72517252,7.2,14.9,77.9,1,1.18,6.46
169,88.09,41.59,120.5,42.27422742,5.7,16.3,78.1,1,1.63,8.2
170,82.04,41.44,120.5,41.08910891,4.7,18.3,77,1,2.22,9.8
171,76.06,41.35,120.5,40.1620162,3.9,19.9,76.1,1,2.88,11.52
172,112.04,35.96,120.5,47.74377438,9.8,9.5,80.7,1.82,1,8.92
173,106.06,35.87,120.5,48.72187219,9.4,9.6,81,1.71,1,8.84
174,100.08,35.78,120.5,48.46684668,7.5,10.4,82.1,1.27,1,8.26
175,94.09,35.69,120.5,48.85388539,6.1,11.6,82.3,1,1.09,8.09
176,88.17,35.61,120.5,48.56885689,4.6,11.9,83.5,1,1.49,10.95
Mean,99.45,77.54,120.5,26.93369337,14.2,50.9,34.9,1.42,4.15,2.58
