Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A3_mV,R_Ohms,Rs_Ohm_sq
1,1,1,-186.0,-86.0,1299.1137,-10.3400,12563.9628,56944.9062
2,1,2,-177.1,-86.0,1361.0450,-10.3500,13150.1933,59601.9375
3,1,3,-168.2,-86.0,1246.9387,-10.4637,11916.7480,54011.4687
4,1,4,-159.3,-86.0,1299.8587,-10.3250,12589.4316,57060.3398
5,1,5,-150.4,-86.0,21.7275,-10.7725,201.6941,914.1585
6,1,6,-141.6,-86.0,523.7388,-281.9263,185.7715,841.9910
7,1,7,-132.7,-86.0,564.4138,-106.4288,530.3208,2403.6257
8,1,8,-123.8,-86.0,1568.8649,-203.2062,772.0555,3499.2644
9,1,9,-114.9,-86.0,536.6013,-103.0438,520.7509,2360.2514
10,1,10,-106.0,-86.0,211.8300,-102.9863,205.6876,932.2587
11,2,1,-186.0,-77.1,1280.2412,-10.3225,12402.4335,56212.7929
12,2,2,-177.1,-77.1,1286.5262,-10.3050,12484.4853,56584.6835
13,2,3,-168.2,-77.1,1289.2562,-10.2887,12530.7373,56794.3164
14,2,4,-159.3,-77.1,1290.5037,-10.3212,12503.3671,56670.2617
15,2,5,-150.4,-77.1,1437.8950,-10.3362,13911.1865,63051.0625
16,2,6,-141.6,-77.1,458.0088,-280.3500,163.3703,740.4597
17,2,7,-132.7,-77.1,267.4913,-105.8188,252.7825,1145.7113
18,2,8,-123.8,-77.1,1168.6437,-109.0725,1071.4375,4856.1835
19,2,9,-114.9,-77.1,109.7450,-105.0388,104.4805,473.5474
20,2,10,-106.0,-77.1,393.7763,-108.5600,362.7268,1644.0231
21,3,1,-186.0,-68.2,1286.3037,-10.3000,12488.3857,56602.3593
22,3,2,-177.1,-68.2,1289.8162,-10.2800,12546.8515,56867.3515
23,3,3,-168.2,-68.2,2025.2624,-10.6087,19090.4902,86525.7421
24,3,4,-159.3,-68.2,1402.5238,-10.3575,13541.1425,61373.8750
25,3,5,-150.4,-68.2,1275.7249,-10.3062,12378.1689,56102.8164
26,3,6,-141.6,-68.2,298.4050,-286.9975,103.9748,471.2553
27,3,7,-132.7,-68.2,421.7425,-103.5813,407.1611,1845.4167
28,3,8,-123.8,-68.2,940.7288,-106.6250,882.2779,3998.8364
29,3,9,-114.9,-68.2,1079.6787,-102.9838,1048.3972,4751.7558
30,3,10,-106.0,-68.2,309.3950,-235.5562,131.3465,595.3151
31,4,1,-186.0,-59.3,1282.3312,-10.2737,12481.6279,56571.7304
32,4,2,-177.1,-59.3,1276.8363,-10.2737,12428.1425,56329.3164
33,4,3,-168.2,-59.3,1443.9525,-10.3037,14013.8544,63516.3945
34,4,4,-159.3,-59.3,1302.2750,-10.2912,12654.1962,57353.8828
35,4,5,-150.4,-59.3,1222.7375,-10.3537,11809.6103,53525.8789
36,4,6,-141.6,-59.3,383.4188,-257.3588,148.9822,675.2470
37,4,7,-132.7,-59.3,570.7512,-102.8188,555.1042,2515.9543
38,4,8,-123.8,-59.3,992.3775,-103.4688,959.1084,4347.0629
39,4,9,-114.9,-59.3,809.0375,-105.0300,770.2918,3491.2707
