Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A3_mV,R_Ohms,Rs_Ohm_sq
40,4,10,-106.0,-59.3,524.5350,-119.8800,437.5501,1983.1518
41,5,1,-186.0,-50.4,1319.4837,-10.2662,12852.6367,58253.2929
42,5,2,-177.1,-50.4,1282.1237,-10.2675,12487.2050,56597.0117
43,5,3,-168.2,-50.4,1393.6624,-10.3487,13466.9648,61037.6718
44,5,4,-159.3,-50.4,1281.5074,-10.3075,12432.7675,56350.2773
45,5,5,-150.4,-50.4,1275.2199,-10.2937,12388.2939,56148.7070
46,5,6,-141.6,-50.4,165.1925,-125.9500,131.1572,594.4570
47,5,7,-132.7,-50.4,462.6038,-101.7438,454.6754,2060.7707
48,5,8,-123.8,-50.4,1265.6887,-284.1863,445.3730,2018.6085
49,5,9,-114.9,-50.4,37.4612,-204.1450,18.3503,83.1710
50,5,10,-106.0,-50.4,510.7662,-118.0900,432.5229,1960.3666
51,6,1,-186.0,-41.6,1277.2762,-10.2700,12436.9638,56369.2968
52,6,2,-177.1,-41.6,1279.2062,-10.2712,12454.2421,56447.6093
53,6,3,-168.2,-41.6,1280.3024,-10.4862,12209.3457,55337.6406
54,6,4,-159.3,-41.6,1306.9237,-10.3362,12644.0800,57308.0312
55,6,5,-150.4,-41.6,1167.6011,-10.2812,11356.6074,51472.6875
56,6,6,-141.6,-41.6,191.8513,-156.4475,122.6298,555.8074
57,6,7,-132.7,-41.6,371.7125,-103.4613,359.2770,1628.3872
58,6,8,-123.8,-41.6,1119.5124,-206.8300,541.2718,2453.2602
59,6,9,-114.9,-41.6,972.4500,-263.9213,368.4622,1670.0179
60,6,10,-106.0,-41.6,307.5162,-284.8200,107.9686,489.3570
61,7,1,-186.0,-32.7,1277.9711,-10.2687,12445.2460,56406.8359
62,7,2,-177.1,-32.7,1283.6500,-10.3737,12374.0214,56084.0156
63,7,3,-168.2,-32.7,1298.8425,-10.8837,11933.7773,54088.6523
64,7,4,-159.3,-32.7,1871.6437,-10.5400,17757.5312,80484.2343
65,7,5,-150.4,-32.7,984.2275,-10.3150,9541.7109,43246.8515
66,7,6,-141.6,-32.7,109.2563,-83.3775,131.0380,593.9168
67,7,7,-132.7,-32.7,201.2775,-103.8150,193.8809,878.7459
68,7,8,-123.8,-32.7,369.6950,-119.4838,309.4103,1402.3713
69,7,9,-114.9,-32.7,1120.8962,-281.7250,397.8689,1803.3011
70,7,10,-106.0,-32.7,455.5463,-109.6638,415.4028,1882.7716
71,8,1,-186.0,-23.8,1087.7862,-10.2775,10584.1523,47971.6132
72,8,2,-177.1,-23.8,1255.4812,-10.3175,12168.4628,55152.3437
73,8,3,-168.2,-23.8,1186.9224,-14.7862,8027.2045,36382.5039
74,8,4,-159.3,-23.8,2047.9375,-11.2762,18161.5117,82315.2343
75,8,5,-150.4,-23.8,1158.2524,-10.6800,10845.0595,49154.1484
76,8,6,-141.6,-23.8,221.6687,-171.2912,129.4104,586.5399
77,8,7,-132.7,-23.8,438.2700,-107.0713,409.3255,1855.2270
78,8,8,-123.8,-23.8,1163.2862,-286.3163,406.2942,1841.4877
79,8,9,-114.9,-23.8,1243.0100,-114.3613,1086.9154,4926.3354
80,8,10,-106.0,-23.8,601.0350,-102.6925,585.2764,2652.7070
81,9,1,-186.0,-14.9,1283.1387,-10.2575,12509.2744,56697.0351
82,9,2,-177.1,-14.9,1295.1574,-10.3325,12534.7929,56812.6992
83,9,3,-168.2,-14.9,1599.7087,-11.3137,14139.5087,64085.9101
84,9,4,-159.3,-14.9,1763.9462,-10.5450,16727.7968,75817.0703
85,9,5,-150.4,-14.9,1316.0112,-11.3137,11631.9628,52720.7109
86,9,6,-141.6,-14.9,265.5413,-133.0513,199.5782,904.5681
87,9,7,-132.7,-14.9,173.4337,-268.4488,64.6059,292.8198
88,9,8,-123.8,-14.9,1113.1011,-105.7650,1052.4287,4770.0278
89,9,9,-114.9,-14.9,1026.5574,-121.7525,843.1511,3821.4980
90,9,10,-106.0,-14.9,390.8725,-118.0925,330.9884,1500.1718
91,10,1,-186.0,-6.0,1265.8125,-10.2587,12338.8574,55924.6406
92,10,2,-177.1,-6.0,1280.4787,-10.2462,12497.0478,56641.6210
93,10,3,-168.2,-6.0,1274.4024,-10.2400,12445.3369,56407.2460
94,10,4,-159.3,-6.0,282.8013,-10.9087,2592.4257,11749.9111
95,10,5,-150.4,-6.0,1408.1324,-25.8275,5452.0664,24710.9472
96,10,6,-141.6,-6.0,143.8663,-108.1463,133.0294,602.9423
97,10,7,-132.7,-6.0,33.4825,-154.3338,21.6949,98.3298
98,10,8,-123.8,-6.0,1053.2275,-164.0587,641.9819,2909.7189
99,10,9,-114.9,-6.0,601.5662,-147.0575,409.0687,1854.0631
100,10,10,-106.0,-6.0,295.9775,-104.0313,284.5083,1289.5053
