Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,2,9,-126.0,-104.0,700.9188,626.1575,1119397.0000,5073555.0000,5.0736
2,2,8,-132.0,-104.0,906.1475,758.9363,1193970.5000,5411552.0000,5.4116
3,2,7,-138.0,-104.0,954.8287,952.3750,1002576.5000,4544078.0000,4.5441
4,2,6,-144.0,-104.0,1009.2988,1765.0625,571820.4375,2591719.0000,2.5917
5,2,5,-150.0,-104.0,706.4537,1817.3337,388730.9062,1761884.0000,1.7619
6,2,4,-156.0,-104.0,794.9713,1219.7137,651768.7500,2954076.7500,2.9541
7,2,3,-162.0,-104.0,831.1575,817.5237,1016676.9375,4607986.5000,4.6080
8,2,2,-168.0,-104.0,512.0625,972.1500,526732.0000,2387360.2500,2.3874
9,2,1,-174.0,-104.0,1211.7288,17.3500,69840272.0000,316544064.0000,316.5441
10,3,1,-180.0,-98.0,503.3725,19.9850,25187516.0000,114159904.0000,114.1599
11,3,2,-174.0,-98.0,696.1975,590.0125,1179971.0000,5348100.5000,5.3481
12,3,3,-168.0,-98.0,685.0887,711.6425,962686.6875,4363281.5000,4.3633
13,3,4,-162.0,-98.0,260.5212,2047.9375,127211.5390,576573.6250,0.5766
14,3,5,-156.0,-98.0,833.3700,2046.5012,407217.0000,1845670.3750,1.8457
15,3,6,-150.0,-98.0,1034.9712,1977.0988,523479.8125,2372620.0000,2.3726
16,3,7,-144.0,-98.0,592.4125,216.2075,2740018.2500,12418859.0000,12.4189
17,3,8,-138.0,-98.0,1123.5162,609.3588,1843768.1250,8356695.0000,8.3567
18,3,9,-132.0,-98.0,734.2863,312.3050,2351183.5000,10656504.0000,10.6565
19,3,10,-126.0,-98.0,873.3638,356.7313,2448240.0000,11096403.0000,11.0964
20,3,11,-120.0,-98.0,951.1788,221.9113,4286302.5000,19427238.0000,19.4272
21,4,13,-114.0,-92.0,905.0262,132.6425,6823048.5000,30924786.0000,30.9248
22,4,12,-120.0,-92.0,757.4512,103.1038,7346496.0000,33297260.0000,33.2973
23,4,11,-126.0,-92.0,507.7013,69.5263,7302296.0000,33096928.0000,33.0969
24,4,10,-132.0,-92.0,869.2888,108.0275,8046922.0000,36471872.0000,36.4719
25,4,9,-138.0,-92.0,1030.2050,257.0500,4007800.5000,18164956.0000,18.1650
26,4,8,-144.0,-92.0,731.0637,259.8325,2813596.5000,12752345.0000,12.7523
27,4,7,-150.0,-92.0,727.0050,274.8100,2645482.7500,11990386.0000,11.9904
28,4,6,-156.0,-92.0,525.7300,410.6425,1280262.1250,5802660.0000,5.8027
29,4,5,-162.0,-92.0,118.4962,183.3862,646156.6875,2928640.7500,2.9286
30,4,4,-168.0,-92.0,859.5413,209.2125,4108460.5000,18621186.0000,18.6212
31,4,3,-174.0,-92.0,1050.9437,169.1812,6211940.0000,28154998.0000,28.1550
32,4,2,-180.0,-92.0,556.9050,107.4938,5180813.5000,23481520.0000,23.4815
33,4,1,-186.0,-92.0,125.8225,2047.9375,61438.6523,278464.5625,0.2785
34,5,1,-186.0,-86.0,530.3500,30.3712,17462238.0000,79145848.0000,79.1458
35,5,2,-180.0,-86.0,494.6812,80.8700,6116993.5000,27724662.0000,27.7247
36,5,3,-174.0,-86.0,680.5212,141.5737,4806832.5000,21786488.0000,21.7865
37,5,4,-168.0,-86.0,969.8200,95.4938,10155849.0000,46030372.0000,46.0304
38,5,5,-162.0,-86.0,62.9325,156.4937,402140.6875,1822662.5000,1.8227
39,5,6,-156.0,-86.0,193.6600,271.5325,713211.1250,3232558.2500,3.2326
40,5,7,-150.0,-86.0,352.0862,98.1537,3587089.2500,16258124.0000,16.2581
41,5,8,-144.0,-86.0,123.1100,76.2725,1614081.1250,7315661.5000,7.3157
42,5,9,-138.0,-86.0,251.6825,53.8625,4672685.5000,21178480.0000,21.1785
43,5,10,-132.0,-86.0,418.3687,71.7125,5833972.5000,26441898.0000,26.4419
44,5,11,-126.0,-86.0,489.3000,72.5287,6746290.5000,30576888.0000,30.5769
45,5,12,-120.0,-86.0,822.5588,108.6162,7573073.5000,34324200.0000,34.3242
46,5,13,-114.0,-86.0,840.6863,217.6925,3861806.5000,17503252.0000,17.5033
47,6,14,-114.0,-80.0,1150.7600,675.2350,1704236.5000,7724281.5000,7.7243
48,6,13,-120.0,-80.0,1338.3087,254.3100,5262509.5000,23851798.0000,23.8518
49,6,12,-126.0,-80.0,413.0887,104.8675,3939149.5000,17853802.0000,17.8538
50,6,11,-132.0,-80.0,377.3550,71.0963,5307665.0000,24056462.0000,24.0565
51,6,10,-138.0,-80.0,324.0038,67.4850,4801123.0000,21760610.0000,21.7606
52,6,9,-144.0,-80.0,299.8488,53.2250,5633608.0000,25533766.0000,25.5338
53,6,8,-150.0,-80.0,380.3213,51.6775,7359513.0000,33356258.0000,33.3563
54,6,7,-156.0,-80.0,352.8312,46.3338,7614994.0000,34514200.0000,34.5142
55,6,6,-162.0,-80.0,249.7863,48.5875,5140957.5000,23300876.0000,23.3009
56,6,5,-168.0,-80.0,260.3975,316.9962,821452.9375,3723153.5000,3.7232
57,6,4,-174.0,-80.0,428.4438,1632.5125,262444.4375,1189503.2500,1.1895
58,6,3,-180.0,-80.0,139.6450,913.5650,152857.2343,692810.1250,0.6928
59,6,2,-186.0,-80.0,518.3137,73.2438,7076559.0000,32073796.0000,32.0738
60,7,2,-186.0,-74.0,74.5325,1221.8013,61002.1445,276486.1250,0.2765
61,7,3,-180.0,-74.0,575.5938,32.0988,17931968.0000,81274856.0000,81.2749
62,7,4,-174.0,-74.0,249.3463,39.5862,6298810.0000,28548728.0000,28.5487
63,7,5,-168.0,-74.0,287.8763,161.7425,1779843.2500,8066962.0000,8.0670
64,7,6,-162.0,-74.0,83.2288,30.7100,2710152.0000,12283493.0000,12.2835
65,7,7,-156.0,-74.0,253.6350,47.6437,5323573.5000,24128566.0000,24.1286
66,7,8,-150.0,-74.0,259.8600,39.9550,6503817.0000,29477902.0000,29.4779
67,7,9,-144.0,-74.0,287.9537,58.9450,4885125.5000,22141344.0000,22.1413
68,7,10,-138.0,-74.0,360.0075,79.6400,4520436.0000,20488424.0000,20.4884
69,7,11,-132.0,-74.0,509.3637,114.1387,4462672.0000,20226616.0000,20.2266
70,7,12,-126.0,-74.0,1179.8788,190.0600,6207928.0000,28136814.0000,28.1368
71,7,13,-120.0,-74.0,742.0025,205.5525,3609795.7500,16361039.0000,16.3610
72,7,14,-114.0,-74.0,647.0212,447.3463,1446354.6250,6555458.0000,6.5555
73,8,14,-114.0,-68.0,340.7737,103.7438,3284764.2500,14887866.0000,14.8879
74,8,13,-120.0,-68.0,417.9125,84.7288,4932357.5000,22355418.0000,22.3554
75,8,12,-126.0,-68.0,638.7725,157.1550,4064602.5000,18422404.0000,18.4224
76,8,11,-132.0,-68.0,514.1188,116.1625,4425858.5000,20059762.0000,20.0598
77,8,10,-138.0,-68.0,681.0175,74.1300,9186801.0000,41638260.0000,41.6383
78,8,9,-144.0,-68.0,846.8387,104.0800,8136421.5000,36877516.0000,36.8775
79,8,8,-150.0,-68.0,25.9900,52.4762,495271.7187,2244769.5000,2.2448
80,8,7,-156.0,-68.0,326.5050,50.7250,6436767.5000,29174006.0000,29.1740
81,8,6,-162.0,-68.0,377.8312,49.6962,7602812.0000,34458988.0000,34.4590
82,8,5,-168.0,-68.0,311.0625,32.5225,9564533.0000,43350292.0000,43.3503
83,8,4,-174.0,-68.0,277.0262,39.6037,6994951.0000,31703916.0000,31.7039
84,8,3,-180.0,-68.0,356.1225,31.8662,11175539.0000,50652016.0000,50.6520
85,8,2,-186.0,-68.0,64.0013,200.3050,319519.0000,1448188.0000,1.4482
86,9,2,-186.0,-62.0,77.7262,149.4187,520190.7812,2357712.7500,2.3577
87,9,3,-180.0,-62.0,423.6750,24.8787,17029594.0000,77184936.0000,77.1849
88,9,4,-174.0,-62.0,228.8062,45.1888,5063345.5000,22949108.0000,22.9491
89,9,5,-168.0,-62.0,180.1113,71.5638,2516794.7500,11407121.0000,11.4071
90,9,6,-162.0,-62.0,108.0175,55.5325,1945122.3750,8816073.0000,8.8161
91,9,7,-156.0,-62.0,313.3350,53.7513,5829352.5000,26420958.0000,26.4210
92,9,8,-150.0,-62.0,329.4725,79.6650,4135724.7500,18744760.0000,18.7448
93,9,9,-144.0,-62.0,439.8737,77.2887,5691304.0000,25795266.0000,25.7953
94,9,10,-138.0,-62.0,251.4800,70.7387,3555053.0000,16112923.0000,16.1129
95,9,11,-132.0,-62.0,526.7662,68.9900,7635400.0000,34606688.0000,34.6067
96,9,12,-126.0,-62.0,387.6013,68.4600,5661718.5000,25661174.0000,25.6612
97,9,13,-120.0,-62.0,386.5725,69.0950,5594797.5000,25357860.0000,25.3579
98,9,14,-114.0,-62.0,395.3925,72.3187,5467358.5000,24780256.0000,24.7803
99,10,14,-114.0,-56.0,573.2413,94.1125,6091022.0000,27606948.0000,27.6069
100,10,13,-120.0,-56.0,243.1288,64.1650,3789118.0000,17173798.0000,17.1738
101,10,12,-126.0,-56.0,292.6437,59.0675,4954395.0000,22455300.0000,22.4553
102,10,11,-132.0,-56.0,253.5287,55.0575,4604800.0000,20870796.0000,20.8708
103,10,10,-138.0,-56.0,254.5038,53.1463,4788743.5000,21704502.0000,21.7045
104,10,9,-144.0,-56.0,248.7025,48.1925,5160606.0000,23389932.0000,23.3899
105,10,8,-150.0,-56.0,226.3338,46.9150,4824337.0000,21865826.0000,21.8658
106,10,7,-156.0,-56.0,288.4175,58.4888,4931162.5000,22350002.0000,22.3500
107,10,6,-162.0,-56.0,275.5500,62.5237,4407125.0000,19974854.0000,19.9749
108,10,5,-168.0,-56.0,136.0425,54.6300,2490252.7500,11286822.0000,11.2868
109,10,4,-174.0,-56.0,264.2313,43.3763,6091611.0000,27609618.0000,27.6096
110,10,3,-180.0,-56.0,296.0187,39.8025,7437189.0000,33708316.0000,33.7083
111,10,2,-186.0,-56.0,196.3763,40.3950,4861400.5000,22033812.0000,22.0338
112,11,1,-186.0,-50.0,287.2087,37.1450,7732097.5000,35044960.0000,35.0450
113,11,2,-180.0,-50.0,265.5150,42.1512,6299102.0000,28550050.0000,28.5500
114,11,3,-174.0,-50.0,227.5538,47.7487,4765649.0000,21599828.0000,21.5998
115,11,4,-168.0,-50.0,330.9925,57.8312,5723419.5000,25940828.0000,25.9408
116,11,5,-162.0,-50.0,316.8062,81.9887,3864021.2500,17513290.0000,17.5133
117,11,6,-156.0,-50.0,259.2650,42.6100,6084605.5000,27577866.0000,27.5779
118,11,7,-150.0,-50.0,306.2888,40.8900,7490554.5000,33950192.0000,33.9502
119,11,8,-144.0,-50.0,245.5025,46.6838,5258843.0000,23835180.0000,23.8352
120,11,9,-138.0,-50.0,262.1112,53.4412,4904662.0000,22229890.0000,22.2299
121,11,10,-132.0,-50.0,276.4650,55.5075,4980678.5000,22574428.0000,22.5744
122,11,11,-126.0,-50.0,214.3138,82.3187,2603462.5000,11799934.0000,11.7999
123,11,12,-120.0,-50.0,1033.0437,102.9600,10033448.0000,45475600.0000,45.4756
124,11,13,-114.0,-50.0,724.8125,80.7012,8981429.0000,40707428.0000,40.7074
125,12,13,-114.0,-44.0,273.6137,42.7163,6405379.0000,29031740.0000,29.0317
126,12,12,-120.0,-44.0,1029.5825,116.5575,8833259.0000,40035864.0000,40.0359
127,12,11,-126.0,-44.0,996.3837,128.6575,7744467.0000,35101024.0000,35.1010
128,12,10,-132.0,-44.0,278.8838,81.7825,3410066.7500,15455787.0000,15.4558
129,12,9,-138.0,-44.0,277.5187,52.0775,5328957.0000,24152966.0000,24.1530
130,12,8,-144.0,-44.0,236.3925,43.9550,5378057.0000,24375506.0000,24.3755
131,12,7,-150.0,-44.0,309.3687,42.8175,7225287.5000,32747894.0000,32.7479
132,12,6,-156.0,-44.0,261.0100,39.7938,6559070.5000,29728332.0000,29.7283
133,12,5,-162.0,-44.0,325.8662,36.7612,8864395.0000,40176984.0000,40.1770
134,12,4,-168.0,-44.0,309.1100,35.1225,8800910.0000,39889244.0000,39.8892
135,12,3,-174.0,-44.0,470.0388,35.1487,13372844.0000,60611080.0000,60.6111
136,12,2,-180.0,-44.0,298.5650,38.5675,7741362.5000,35086952.0000,35.0870
137,12,1,-186.0,-44.0,264.1363,39.4575,6694197.0000,30340780.0000,30.3408
138,13,1,-180.0,-38.0,202.3100,28.6912,7051279.5000,31959220.0000,31.9592
139,13,2,-174.0,-38.0,297.9175,32.5537,9151559.0000,41478528.0000,41.4785
140,13,3,-168.0,-38.0,289.6475,38.8350,7458414.0000,33804516.0000,33.8045
141,13,4,-162.0,-38.0,299.7863,36.5288,8206858.0000,37196764.0000,37.1968
142,13,5,-156.0,-38.0,323.4775,37.1237,8713494.0000,39493040.0000,39.4930
143,13,6,-150.0,-38.0,288.7750,39.1525,7375646.5000,33429382.0000,33.4294
144,13,7,-144.0,-38.0,223.7962,51.8300,4317890.5000,19570408.0000,19.5704
145,13,8,-138.0,-38.0,423.3438,73.3613,5770672.5000,26154996.0000,26.1550
146,13,9,-132.0,-38.0,771.0687,93.8337,8217393.5000,37244516.0000,37.2445
147,13,10,-126.0,-38.0,976.7737,85.7012,11397427.0000,51657700.0000,51.6577
148,13,11,-120.0,-38.0,290.8362,29.5212,9851759.0000,44652112.0000,44.6521
